,අ,ආ,ඇ,ඈ,ඉ,ඊ,උ,ඌ,ඍ,ඎ,ඏ,ඐ,එ,ඒ,ඓ  ,ඔ,ඕ,ඖ,අං,අඃ,ආං,ආඃ,ඇං,ඇඃ,ඈං,ඈඃ,ඉං,ඉඃ,ඊං,ඊඃ,උං,උඃ,ඌං,ඌඃ,ඍං,ඍඃ,ඏං,ඏඃ,එං,එඃ,ඒං,ඒඃ,ඓං,ඓඃ,ඔං,ඔඃ,ඕං,ඕඃ,ඖං,ඖඃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ඣ්,ඣ,ඣා,ඣැ,ඣෑ,ඣි,ඣී,ඣු,ඣූ,ඣෘ,ඣෲ,ඣෟ,ඣෳ,ඣෙ,ඣේ,ඣෛ,ඣො,ඣෝ,ඣෞ,ඣං,ඣඃ,ඣාං,ඣාඃ,ඣැං,ඣැඃ,ඣෑං,ඣෑඃ,ඣිං,ඣිඃ,ඣීං,ඣීඃ,ඣුං,ඣුඃ,ඣූං,ඣූඃ,ඣෘං,ඣෘඃ,ඣෟං,ඣෟඃ,ඣෙං,ඣෙඃ,ඣේං,ඣේඃ,ඣෛං ,ඣෛඃ,ඣොං,ඣොඃ,ඣෝං,ඣෝඃ,ඣෞං,ඣෞඃ,ඣ්‍ර ,ඣ්‍රා  ,ඣ්‍රැ ,ඣ්‍රෑ ,ඣ්‍රි,ඣ්‍රී,ඣ්‍රෙ,ඣ්‍රේ,ඣ්‍රෛ,ඣ්‍රො,ඣ්‍රෝ,ඣ්‍රෞ,ඣ්‍රං,ඣ්‍රඃ,ඣ්‍රාං,ඣ්‍රාඃ,ඣ්‍රැං,ඣ්‍රැඃ,ඣ්‍රෑං,ඣ්‍රෑඃ,ඣ්‍රිං,ඣ්‍රිඃ,ඣ්‍රීං,ඣ්‍රීඃ,ඣ්‍රෙං,ඣ්‍රෙඃ,ඣ්‍රේං,ඣ්‍රේඃ,ඣ්‍රෛං,ඣ්‍රෛඃ,ඣ්‍රොං,ඣ්‍රොඃ,ඣ්‍රෝං,ඣ්‍රෝඃ,ඣ්‍රෞං,ඣ්‍රෞඃ,ර්‍ඣ,,ර්‍ඣං,ර්‍ඣඃ,ඣ්‍ය ,ඣ්‍යා,ඣ්‍යු,ඣ්‍යූ,ඣ්‍යෙ,ඣ්‍යේ,ඣ්‍යො ,ඣ්‍යෝ ,ඣ්‍යං,ඣ්‍යඃ,ඣ්‍යාං,ඣ්‍යාඃ,ඣ්‍යුං,ඣ්‍යුඃ,ඣ්‍යූං,ඣ්‍යූඃ,ඣ්‍යෙං,ඣ්‍යෙඃ,ඣ්‍යේං,ඣ්‍යේඃ,ඣ්‍යොං,ඣ්‍යොඃ,ඣ්‍යෝං,ඣ්‍යෝඃ
ඤ්,ඤ,ඤා,ඤැ,ඤෑ,ඤි,ඤී,ඤු,ඤූ,ඤෘ,ඤෲ,ඤෟ,ඤෳ,ඤෙ,ඤේ,ඤෛ,ඤො,ඤෝ,ඤෞ,ඤං,ඤඃ,ඤාං,ඤාඃ,ඤැං,ඤැඃ,ඤෑං,ඤෑඃ,ඤිං,ඤිඃ,ඤීං,ඤීඃ,ඤුං,ඤුඃ,ඤූං,ඤූඃ,ඤෘං,ඤෘඃ,ඤෟං,ඤෟඃ,ඤෙං,ඤෙඃ,ඤේං,ඤේඃ,ඤෛං,ඤෛඃ,ඤොං,ඤොඃ,ඤෝං,ඤෝඃ,ඤෞං,ඤෞඃ,ඤ්‍ර ,ඤ්‍රා  ,ඤ්‍රැ ,ඤ්‍රෑ ,ඤ්‍රි,ඤ්‍රී,ඤ්‍රෙ,ඤ්‍රේ,ඤ්‍රෛ,ඤ්‍රො,ඤ්‍රෝ,ඤ්‍රෞ,ඤ්‍රං,ඤ්‍රඃ,ඤ්‍රාං,ඤ්‍රාඃ,ඤ්‍රැං,ඤ්‍රැඃ,ඤ්‍රෑං,ඤ්‍රෑඃ,ඤ්‍රිං,ඤ්‍රිඃ,ඤ්‍රීං,ඤ්‍රීඃ,ඤ්‍රෙං,ඤ්‍රෙඃ,ඤ්‍රේං,ඤ්‍රේඃ,ඤ්‍රෛං,ඤ්‍රෛඃ,ඤ්‍රොං,ඤ්‍රොඃ,ඤ්‍රෝං,ඤ්‍රෝඃ,ඤ්‍රෞං,ඤ්‍රෞඃ,ර්‍ඤ,,ර්‍ඤං,ර්‍ඤඃ,ඤ්‍ය ,ඤ්‍යා,ඤ්‍යු,ඤ්‍යූ,ඤ්‍යෙ,ඤ්‍යේ,ඤ්‍යො ,ඤ්‍යෝ ,ඤ්‍යං,ඤ්‍යඃ,ඤ්‍යාං,ඤ්‍යාඃ,ඤ්‍යුං,ඤ්‍යුඃ,ඤ්‍යූං,ඤ්‍යූඃ,ඤ්‍යෙං,ඤ්‍යෙඃ,ඤ්‍යේං,ඤ්‍යේඃ,ඤ්‍යොං,ඤ්‍යොඃ,ඤ්‍යෝං,ඤ්‍යෝඃ
ඦ්,ඦ,ඦා,ඦැ,ඦෑ,ඦි,ඦී,ඦු,ඦූ,ඦෘ,ඦෲ,ඦෟ,ඦෳ,ඦෙ,ඦේ,ඦෛ,ඦො,ඦෝ,ඦෞ,ඦං,ඦඃ,ඦාං,ඦාඃ,ඦැං,ඦැඃ,ඦෑං,ඦෑඃ,ඦිං,ඦිඃ,ඦීං,ඦීඃ,ඦුං,ඦුඃ,ඦූං,ඦූඃ,ඦෘං,ඦෘඃ,ඦෟං,ඦෟඃ,ඦෙං,ඦෙඃ,ඦේං,ඦේඃ,ඦෛං,ඦෛඃ,ඦොං,ඦොඃ,ඦෝං,ඦෝඃ,ඦෞං,ඦෞඃ,ඦ්‍ර ,ඦ්‍රා  ,ඦ්‍රැ ,ඦ්‍රෑ ,ඦ්‍රි,ඦ්‍රී,ඦ්‍රෙ,ඦ්‍රේ,ඦ්‍රෛ,ඦ්‍රො,ඦ්‍රෝ,ඦ්‍රෞ,ඦ්‍රං,ඦ්‍රඃ,ඦ්‍රාං,ඦ්‍රාඃ,ඦ්‍රැං,ඦ්‍රැඃ,ඦ්‍රෑං,ඦ්‍රෑඃ,ඦ්‍රිං,ඦ්‍රිඃ,ඦ්‍රීං,ඦ්‍රීඃ,ඦ්‍රෙං,ඦ්‍රෙඃ,ඦ්‍රේං,ඦ්‍රේඃ,ඦ්‍රෛං,ඦ්‍රෛඃ,ඦ්‍රොං,ඦ්‍රොඃ,ඦ්‍රෝං,ඦ්‍රෝඃ,ඦ්‍රෞං,ඦ්‍රෞඃ,ර්‍ඦ,,ර්‍ඦං,ර්‍ඦඃ,ඦ්‍ය ,ඦ්‍යා,ඦ්‍යු,ඦ්‍යූ,ඦ්‍යෙ,ඦ්‍යේ,ඦ්‍යො ,ඦ්‍යෝ ,ඦ්‍යං,ඦ්‍යඃ,ඦ්‍යාං,ඦ්‍යාඃ,ඦ්‍යුං,ඦ්‍යුඃ,ඦ්‍යූං,ඦ්‍යූඃ,ඦ්‍යෙං,ඦ්‍යෙඃ,ඦ්‍යේං,ඦ්‍යේඃ,ඦ්‍යොං,ඦ්‍යොඃ,ඦ්‍යෝං,ඦ්‍යෝඃ
ට්,ට,ටා,ටැ,ටෑ,ටි,ටී,ටු,ටූ,ටෘ,ටෲ,ටෟ,ටෳ,ටෙ,ටේ,ටෛ,ටො,ටෝ,ටෞ,ටං,ටඃ,ටාං,ටාඃ,ටැං,ටැඃ,ටෑං,ටෑඃ,ටිං,ටිඃ,ටීං,ටීඃ,ටුං,ටුඃ,ටූං,ටූඃ,ටෘං,ටෘඃ,ටෟං,ටෟඃ,ටෙං,ටෙඃ,ටේං,ටේඃ,ටෛං,ටෛඃ,ටොං,ටොඃ,ටෝං,ටෝඃ,ටෞං,ටෞඃ,ට්‍ර ,ට්‍රා  ,ට්‍රැ ,ට්‍රෑ ,ට්‍රි,ට්‍රී,ට්‍රෙ,ට්‍රේ,ට්‍රෛ,ට්‍රො,ට්‍රෝ,ට්‍රෞ,ට්‍රං,ට්‍රඃ,ට්‍රාං,ට්‍රාඃ,ට්‍රැං,ට්‍රැඃ,ට්‍රෑං,ට්‍රෑඃ,ට්‍රිං,ට්‍රිඃ,ට්‍රීං,ට්‍රීඃ,ට්‍රෙං,ට්‍රෙඃ,ට්‍රේං,ට්‍රේඃ,ට්‍රෛං,ට්‍රෛඃ,ට්‍රොං,ට්‍රොඃ,ට්‍රෝං,ට්‍රෝඃ,ට්‍රෞං,ට්‍රෞඃ,ර්‍ට,,ර්‍ටං,ර්‍ටඃ,ට්‍ය ,ට්‍යා,ට්‍යු,ට්‍යූ,ට්‍යෙ,ට්‍යේ,ට්‍යො ,ට්‍යෝ ,ට්‍යං,ට්‍යඃ,ට්‍යාං,ට්‍යාඃ,ට්‍යුං,ට්‍යුඃ,ට්‍යූං,ට්‍යූඃ,ට්‍යෙං,ට්‍යෙඃ,ට්‍යේං,ට්‍යේඃ,ට්‍යොං,ට්‍යොඃ,ට්‍යෝං,ට්‍යෝඃ
ඨ්,ඨ,ඨා,ඨැ,ඨෑ,ඨි,ඨී,ඨු,ඨූ,ඨෘ,ඨෲ,ඨෟ,ඨෳ,ඨෙ,ඨේ,ඨෛ,ඨො,ඨෝ,ඨෞ,ඨං,ඨඃ,ඨාං,ඨාඃ,ඨැං,ඨැඃ,ඨෑං,ඨෑඃ,ඨිං,ඨිඃ,ඨීං,ඨීඃ,ඨුං,ඨුඃ,ඨූං,ඨූඃ,ඨෘං,ඨෘඃ,ඨෟං,ඨෟඃ,ඨෙං,ඨෙඃ,ඨේං,ඨේඃ,ඨෛං,ඨෛඃ,ඨොං,ඨොඃ,ඨෝං,ඨෝඃ,ඨෞං,ඨෞඃ,ඨ්‍ර ,ඨ්‍රා  ,ඨ්‍රැ ,ඨ්‍රෑ ,ඨ්‍රි,ඨ්‍රී,ඨ්‍රෙ,ඨ්‍රේ,ඨ්‍රෛ,ඨ්‍රො,ඨ්‍රෝ,ඨ්‍රෞ,ඨ්‍රං,ඨ්‍රඃ,ඨ්‍රාං,ඨ්‍රාඃ,ඨ්‍රැං,ඨ්‍රැඃ,ඨ්‍රෑං,ඨ්‍රෑඃ,ඨ්‍රිං,ඨ්‍රිඃ,ඨ්‍රීං,ඨ්‍රීඃ,ඨ්‍රෙං,ඨ්‍රෙඃ,ඨ්‍රේං,ඨ්‍රේඃ,ඨ්‍රෛං,ඨ්‍රෛඃ,ඨ්‍රොං,ඨ්‍රොඃ,ඨ්‍රෝං,ඨ්‍රෝඃ,ඨ්‍රෞං,ඨ්‍රෞඃ,ර්‍ඨ,,ර්‍ඨං,ර්‍ඨඃ,ඨ්‍ය ,ඨ්‍යා,ඨ්‍යු,ඨ්‍යූ,ඨ්‍යෙ,ඨ්‍යේ,ඨ්‍යො ,ඨ්‍යෝ ,ඨ්‍යං,ඨ්‍යඃ,ඨ්‍යාං,ඨ්‍යාඃ,ඨ්‍යුං,ඨ්‍යුඃ,ඨ්‍යූං,ඨ්‍යූඃ,ඨ්‍යෙං,ඨ්‍යෙඃ,ඨ්‍යේං,ඨ්‍යේඃ,ඨ්‍යොං,ඨ්‍යොඃ,ඨ්‍යෝං,ඨ්‍යෝඃ
ඩ්,ඩ,ඩා,ඩැ,ඩෑ,ඩි,ඩී,ඩු,ඩූ,ඩෘ,ඩෲ,ඩෟ,ඩෳ,ඩෙ,ඩේ,ඩෛ,ඩො,ඩෝ,ඩෞ,ඩං,ඩඃ,ඩාං,ඩාඃ,ඩැං,ඩැඃ,ඩෑං,ඩෑඃ,ඩිං,ඩිඃ,ඩීං,ඩීඃ,ඩුං,ඩුඃ,ඩූං,ඩූඃ,ඩෘං,ඩෘඃ,ඩෟං,ඩෟඃ,ඩෙං,ඩෙඃ,ඩේං,ඩේඃ,ඩෛං,ඩෛඃ,ඩොං,ඩොඃ,ඩෝං,ඩෝඃ,ඩෞං,ඩෞඃ,ඩ්‍ර ,ඩ්‍රා  ,ඩ්‍රැ ,ඩ්‍රෑ ,ඩ්‍රි,ඩ්‍රී,ඩ්‍රෙ,ඩ්‍රේ,ඩ්‍රෛ,ඩ්‍රො,ඩ්‍රෝ,ඩ්‍රෞ,ඩ්‍රං,ඩ්‍රඃ,ඩ්‍රාං,ඩ්‍රාඃ,ඩ්‍රැං,ඩ්‍රැඃ,ඩ්‍රෑං,ඩ්‍රෑඃ,ඩ්‍රිං,ඩ්‍රිඃ,ඩ්‍රීං,ඩ්‍රීඃ,ඩ්‍රෙං,ඩ්‍රෙඃ,ඩ්‍රේං,ඩ්‍රේඃ,ඩ්‍රෛං,ඩ්‍රෛඃ,ඩ්‍රොං,ඩ්‍රොඃ,ඩ්‍රෝං,ඩ්‍රෝඃ,ඩ්‍රෞං,ඩ්‍රෞඃ,ර්‍ඩ,,ර්‍ඩං,ර්‍ඩඃ,ඩ්‍ය ,ඩ්‍යා,ඩ්‍යු,ඩ්‍යූ,ඩ්‍යෙ,ඩ්‍යේ,ඩ්‍යො ,ඩ්‍යෝ ,ඩ්‍යං,ඩ්‍යඃ,ඩ්‍යාං,ඩ්‍යාඃ,ඩ්‍යුං,ඩ්‍යුඃ,ඩ්‍යූං,ඩ්‍යූඃ,ඩ්‍යෙං,ඩ්‍යෙඃ,ඩ්‍යේං,ඩ්‍යේඃ,ඩ්‍යොං,ඩ්‍යොඃ,ඩ්‍යෝං,ඩ්‍යෝඃ
ඪ්,ඪ,ඪා,ඪැ,ඪෑ,ඪි,ඪී,ඪු,ඪූ,ඪෘ,ඪෲ,ඪෟ,ඪෳ,ඪෙ,ඪේ,ඪෛ,ඪො,ඪෝ,ඪෞ,ඪං,ඪඃ,ඪාං,ඪාඃ,ඪැං,ඪැඃ,ඪෑං,ඪෑඃ,ඪිං,ඪිඃ,ඪීං,ඪීඃ,ඪුං,ඪුඃ,ඪූං,ඪූඃ,ඪෘං,ඪෘඃ,ඪෟං,ඪෟඃ,ඪෙං,ඪෙඃ,ඪේං,ඪේඃ,ඪෛං,ඪෛඃ,ඪොං,ඪොඃ,ඪෝං,ඪෝඃ,ඪෞං,ඪෞඃ,ඪ්‍ර ,ඪ්‍රා  ,ඪ්‍රැ ,ඪ්‍රෑ ,ඪ්‍රි,ඪ්‍රී,ඪ්‍රෙ,ඪ්‍රේ,ඪ්‍රෛ,ඪ්‍රො,ඪ්‍රෝ,ඪ්‍රෞ,ඪ්‍රං,ඪ්‍රඃ,ඪ්‍රාං,ඪ්‍රාඃ,ඪ්‍රැං,ඪ්‍රැඃ,ඪ්‍රෑං,ඪ්‍රෑඃ,ඪ්‍රිං,ඪ්‍රිඃ,ඪ්‍රීං,ඪ්‍රීඃ,ඪ්‍රෙං,ඪ්‍රෙඃ,ඪ්‍රේං,ඪ්‍රේඃ,ඪ්‍රෛං,ඪ්‍රෛඃ,ඪ්‍රොං,ඪ්‍රොඃ,ඪ්‍රෝං,ඪ්‍රෝඃ,ඪ්‍රෞං,ඪ්‍රෞඃ,ර්‍ඪ,,ර්‍ඪං,ර්‍ඪඃ,ඪ්‍ය ,ඪ්‍යා,ඪ්‍යු,ඪ්‍යූ,ඪ්‍යෙ,ඪ්‍යේ,ඪ්‍යො ,ඪ්‍යෝ ,ඪ්‍යං,ඪ්‍යඃ,ඪ්‍යාං,ඪ්‍යාඃ,ඪ්‍යුං,ඪ්‍යුඃ,ඪ්‍යූං,ඪ්‍යූඃ,ඪ්‍යෙං,ඪ්‍යෙඃ,ඪ්‍යේං,ඪ්‍යේඃ,ඪ්‍යොං,ඪ්‍යොඃ,ඪ්‍යෝං,ඪ්‍යෝඃ
ණ්,ණ,ණා,ණැ,ණෑ,ණි,ණී,ණු,ණූ,ණෘ,ණෲ,ණෟ,ණෳ,ණෙ,ණේ,ණෛ,ණො,ණෝ,ණෞ,ණං,ණඃ,ණාං,ණාඃ,ණැං,ණැඃ,ණෑං,ණෑඃ,ණිං,ණිඃ,ණීං,ණීඃ,ණුං,ණුඃ,ණූං,ණූඃ,ණෘං,ණෘඃ,ණෟං,ණෟඃ,ණෙං,ණෙඃ,ණේං,ණේඃ,ණෛං,ණෛඃ,ණොං,ණොඃ,ණෝං,ණෝඃ,ණෞං,ණෞඃ,ණ්‍ර ,ණ්‍රා  ,ණ්‍රැ ,ණ්‍රෑ ,ණ්‍රි,ණ්‍රී,ණ්‍රෙ,ණ්‍රේ,ණ්‍රෛ,ණ්‍රො,ණ්‍රෝ,ණ්‍රෞ,ණ්‍රං,ණ්‍රඃ,ණ්‍රාං,ණ්‍රාඃ,ණ්‍රැං,ණ්‍රැඃ,ණ්‍රෑං,ණ්‍රෑඃ,ණ්‍රිං,ණ්‍රිඃ,ණ්‍රීං,ණ්‍රීඃ,ණ්‍රෙං,ණ්‍රෙඃ,ණ්‍රේං,ණ්‍රේඃ,ණ්‍රෛං,ණ්‍රෛඃ,ණ්‍රොං,ණ්‍රොඃ,ණ්‍රෝං,ණ්‍රෝඃ,ණ්‍රෞං,ණ්‍රෞඃ,ර්‍ණ,,ර්‍ණං,ර්‍ණඃ,ණ්‍ය ,ණ්‍යා,ණ්‍යු,ණ්‍යූ,ණ්‍යෙ,ණ්‍යේ,ණ්‍යො ,ණ්‍යෝ ,ණ්‍යං,ණ්‍යඃ,ණ්‍යාං,ණ්‍යාඃ,ණ්‍යුං,ණ්‍යුඃ,ණ්‍යූං,ණ්‍යූඃ,ණ්‍යෙං,ණ්‍යෙඃ,ණ්‍යේං,ණ්‍යේඃ,ණ්‍යොං,ණ්‍යොඃ,ණ්‍යෝං,ණ්‍යෝඃ
ඬ්,ඬ,ඬා,ඬැ,ඬෑ,ඬි,ඬී,ඬු,ඬූ,ඬෘ,ඬෲ,ඬෟ,ඬෳ,ඬෙ,ඬේ,ඬෛ,ඬො,ඬෝ,ඬෞ,ඬං,ඬඃ,ඬාං,ඬාඃ,ඬැං,ඬැඃ,ඬෑං,ඬෑඃ,ඬිං,ඬිඃ,ඬීං,ඬීඃ,ඬුං,ඬුඃ,ඬූං,ඬූඃ,ඬෘං,ඬෘඃ,ඬෟං,ඬෟඃ,ඬෙං,ඬෙඃ,ඬේං,ඬේඃ,ඬෛං,ඬෛඃ,ඬොං,ඬොඃ,ඬෝං,ඬෝඃ,ඬෞං,ඬෞඃ,ඬ්‍ර ,ඬ්‍රා  ,ඬ්‍රැ ,ඬ්‍රෑ ,ඬ්‍රි,ඬ්‍රී,ඬ්‍රෙ,ඬ්‍රේ,ඬ්‍රෛ,ඬ්‍රො,ඬ්‍රෝ,ඬ්‍රෞ,ඬ්‍රං,ඬ්‍රඃ,ඬ්‍රාං,ඬ්‍රාඃ,ඬ්‍රැං,ඬ්‍රැඃ,ඬ්‍රෑං,ඬ්‍රෑඃ,ඬ්‍රිං,ඬ්‍රිඃ,ඬ්‍රීං,ඬ්‍රීඃ,ඬ්‍රෙං,ඬ්‍රෙඃ,ඬ්‍රේං,ඬ්‍රේඃ,ඬ්‍රෛං,ඬ්‍රෛඃ,ඬ්‍රොං,ඬ්‍රොඃ,ඬ්‍රෝං,ඬ්‍රෝඃ,ඬ්‍රෞං,ඬ්‍රෞඃ,ර්‍ඬ,,ර්‍ඬං,ර්‍ඬඃ,ඬ්‍ය ,ඬ්‍යා,ඬ්‍යු,ඬ්‍යූ,ඬ්‍යෙ,ඬ්‍යේ,ඬ්‍යො ,ඬ්‍යෝ ,ඬ්‍යං,ඬ්‍යඃ,ඬ්‍යාං,ඬ්‍යාඃ,ඬ්‍යුං,ඬ්‍යුඃ,ඬ්‍යූං,ඬ්‍යූඃ,ඬ්‍යෙං,ඬ්‍යෙඃ,ඬ්‍යේං,ඬ්‍යේඃ,ඬ්‍යොං,ඬ්‍යොඃ,ඬ්‍යෝං,ඬ්‍යෝඃ
ත්,ත,තා,තැ,තෑ,ති,තී,තු,තූ,තෘ,තෲ,තෟ,තෳ,තෙ,තේ,තෛ,තො,තෝ,තෞ,තං,තඃ,තාං,තාඃ,තැං,තැඃ,තෑං,තෑඃ,තිං,තිඃ,තීං,තීඃ,තුං,තුඃ,තූං,තූඃ,තෘං,තෘඃ,තෟං,තෟඃ,තෙං,තෙඃ,තේං,තේඃ,තෛං,තෛඃ,තොං,තොඃ,තෝං,තෝඃ,තෞං,තෞඃ,ත්‍ර ,ත්‍රා  ,ත්‍රැ ,ත්‍රෑ ,ත්‍රි,ත්‍රී,ත්‍රෙ,ත්‍රේ,ත්‍රෛ,ත්‍රො,ත්‍රෝ,ත්‍රෞ,ත්‍රං,ත්‍රඃ,ත්‍රාං,ත්‍රාඃ,ත්‍රැං,ත්‍රැඃ,ත්‍රෑං,ත්‍රෑඃ,ත්‍රිං,ත්‍රිඃ,ත්‍රීං,ත්‍රීඃ,ත්‍රෙං,ත්‍රෙඃ,ත්‍රේං,ත්‍රේඃ,ත්‍රෛං,ත්‍රෛඃ,ත්‍රොං,ත්‍රොඃ,ත්‍රෝං,ත්‍රෝඃ,ත්‍රෞං,ත්‍රෞඃ,ර්‍ත,ර්‍තා,ර්‍තං,ර්‍තඃ,ත්‍ය ,ත්‍යා,ත්‍යු,ත්‍යූ,ත්‍යෙ,ත්‍යේ,ත්‍යො ,ත්‍යෝ ,ත්‍යං,ත්‍යඃ,ත්‍යාං,ත්‍යාඃ,ත්‍යුං,ත්‍යුඃ,ත්‍යූං,ත්‍යූඃ,ත්‍යෙං,ත්‍යෙඃ,ත්‍යේං,ත්‍යේඃ,ත්‍යොං,ත්‍යොඃ,ත්‍යෝං,ත්‍යෝඃ
ථ්,ථ,ථා,ථැ,ථෑ,ථි,ථී,ථු,ථූ,ථෘ,ථෲ,ථෟ,ථෳ,ථෙ,ථේ,ථෛ,ථො,ථෝ,ථෞ,ථං,ථඃ,ථාං,ථාඃ,ථැං,ථැඃ,ථෑං,ථෑඃ,ථිං,ථිඃ,ථීං,ථීඃ,ථුං,ථුඃ,ථූං,ථූඃ,ථෘං,ථෘඃ,ථෟං,ථෟඃ,ථෙං,ථෙඃ,ථේං,ථේඃ,ථෛං,ථෛඃ,ථොං,ථොඃ,ථෝං,ථෝඃ,ථෞං,ථෞඃ,ථ්‍ර ,ථ්‍රා  ,ථ්‍රැ ,ථ්‍රෑ ,ථ්‍රි,ථ්‍රී,ථ්‍රෙ,ථ්‍රේ,ථ්‍රෛ,ථ්‍රො,ථ්‍රෝ,ථ්‍රෞ,ථ්‍රං,ථ්‍රඃ,ථ්‍රාං,ථ්‍රාඃ,ථ්‍රැං,ථ්‍රැඃ,ථ්‍රෑං,ථ්‍රෑඃ,ථ්‍රිං,ථ්‍රිඃ,ථ්‍රීං,ථ්‍රීඃ,ථ්‍රෙං,ථ්‍රෙඃ,ථ්‍රේං,ථ්‍රේඃ,ථ්‍රෛං,ථ්‍රෛඃ,ථ්‍රොං,ථ්‍රොඃ,ථ්‍රෝං,ථ්‍රෝඃ,ථ්‍රෞං,ථ්‍රෞඃ,ර්‍ථ,,ර්‍ථං,ර්‍ථඃ,ථ්‍ය ,ථ්‍යා,ථ්‍යු,ථ්‍යූ,ථ්‍යෙ,ථ්‍යේ,ථ්‍යො ,ථ්‍යෝ ,ථ්‍යං,ථ්‍යඃ,ථ්‍යාං,ථ්‍යාඃ,ථ්‍යුං,ථ්‍යුඃ,ථ්‍යූං,ථ්‍යූඃ,ථ්‍යෙං,ථ්‍යෙඃ,ථ්‍යේං,ථ්‍යේඃ,ථ්‍යොං,ථ්‍යොඃ,ථ්‍යෝං,ථ්‍යෝඃ
ද්,ද,දා,දැ,දෑ,දි,දී,දු,දූ,දෘ,දෲ,දෟ,දෳ,දෙ,දේ,දෛ,දො,දෝ,දෞ,දං,දඃ,දාං,දාඃ,දැං,දැඃ,දෑං,දෑඃ,දිං,දිඃ,දීං,දීඃ,දුං,දුඃ,දූං,දූඃ,දෘං,දෘඃ,දෟං,දෟඃ,දෙං,දෙඃ,දේං,දේඃ,දෛං,දෛඃ,දොං,දොඃ,දෝං,දෝඃ,දෞං,දෞඃ,ද්‍ර ,ද්‍රා  ,ද්‍රැ ,ද්‍රෑ ,ද්‍රි,ද්‍රී,ද්‍රෙ,ද්‍රේ,ද්‍රෛ,ද්‍රො,ද්‍රෝ,ද්‍රෞ,ද්‍රං,ද්‍රඃ,ද්‍රාං,ද්‍රාඃ,ද්‍රැං,ද්‍රැඃ,ද්‍රෑං,ද්‍රෑඃ,ද්‍රිං,ද්‍රිඃ,ද්‍රීං,ද්‍රීඃ,ද්‍රෙං,ද්‍රෙඃ,ද්‍රේං,ද්‍රේඃ,ද්‍රෛං,ද්‍රෛඃ,ද්‍රොං,ද්‍රොඃ,ද්‍රෝං,ද්‍රෝඃ,ද්‍රෞං,ද්‍රෞඃ,ර්‍ද,,ර්‍දං,ර්‍දඃ,ද්‍ය ,ද්‍යා,ද්‍යු,ද්‍යූ,ද්‍යෙ,ද්‍යේ,ද්‍යො ,ද්‍යෝ ,ද්‍යං,ද්‍යඃ,ද්‍යාං,ද්‍යාඃ,ද්‍යුං,ද්‍යුඃ,ද්‍යූං,ද්‍යූඃ,ද්‍යෙං,ද්‍යෙඃ,ද්‍යේං,ද්‍යේඃ,ද්‍යොං,ද්‍යොඃ,ද්‍යෝං,ද්‍යෝඃ
ධ්,ධ,ධා,ධැ,ධෑ,ධි,ධී,ධු,ධූ,ධෘ,ධෲ,ධෟ,ධෳ,ධෙ,ධේ,ධෛ,ධො,ධෝ,ධෞ,ධං,ධඃ,ධාං,ධාඃ,ධැං,ධැඃ,ධෑං,ධෑඃ,ධිං,ධිඃ,ධීං,ධීඃ,ධුං,ධුඃ,ධූං,ධූඃ,ධෘං,ධෘඃ,ධෟං,ධෟඃ,ධෙං,ධෙඃ,ධේං,ධේඃ,ධෛං,ධෛඃ,ධොං,ධොඃ,ධෝං,ධෝඃ,ධෞං,ධෞඃ,ධ්‍ර ,ධ්‍රා  ,ධ්‍රැ ,ධ්‍රෑ ,ධ්‍රි,ධ්‍රී,ධ්‍රෙ,ධ්‍රේ,ධ්‍රෛ,ධ්‍රො,ධ්‍රෝ,ධ්‍රෞ,ධ්‍රං,ධ්‍රඃ,ධ්‍රාං,ධ්‍රාඃ,ධ්‍රැං,ධ්‍රැඃ,ධ්‍රෑං,ධ්‍රෑඃ,ධ්‍රිං,ධ්‍රිඃ,ධ්‍රීං,ධ්‍රීඃ,ධ්‍රෙං,ධ්‍රෙඃ,ධ්‍රේං,ධ්‍රේඃ,ධ්‍රෛං,ධ්‍රෛඃ,ධ්‍රොං,ධ්‍රොඃ,ධ්‍රෝං,ධ්‍රෝඃ,ධ්‍රෞං,ධ්‍රෞඃ,ර්‍ධ,,ර්‍ධං,ර්‍ඞඃ,ධ්‍ය ,ධ්‍යා,ධ්‍යු,ධ්‍යූ,ධ්‍යෙ,ධ්‍යේ,ධ්‍යො ,ධ්‍යෝ ,ධ්‍යං,ධ්‍යඃ,ධ්‍යාං,ධ්‍යාඃ,ධ්‍යුං,ධ්‍යුඃ,ධ්‍යූං,ධ්‍යූඃ,ධ්‍යෙං,ධ්‍යෙඃ,ධ්‍යේං,ධ්‍යේඃ,ධ්‍යොං,ධ්‍යොඃ,ධ්‍යෝං,ධ්‍යෝඃ
